121.031: [GC [PSYoungGen: 174240K->96K(174464K)] 176505K->2361K(524032K), 0.0004994 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
121.406: [GC [PSYoungGen: 174304K->64K(174464K)] 176569K->2329K(524032K), 0.0004797 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
121.776: [GC [PSYoungGen: 174272K->96K(174528K)] 176537K->2361K(524096K), 0.0004397 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
122.159: [GC [PSYoungGen: 174368K->32K(174464K)] 176633K->2297K(524032K), 0.0004927 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
122.537: [GC [PSYoungGen: 174304K->64K(174528K)] 176569K->2329K(524096K), 0.0005840 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
122.921: [GC [PSYoungGen: 174400K->96K(174528K)] 176665K->2361K(524096K), 0.0004171 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
123.292: [GC [PSYoungGen: 174432K->192K(174400K)] 176697K->2457K(523968K), 0.0004562 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
123.674: [GC [PSYoungGen: 174400K->96K(174464K)] 176665K->2361K(524032K), 0.0004359 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.047: [GC [PSYoungGen: 174304K->160K(174464K)] 176569K->2425K(524032K), 0.0003993 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.426: [GC [PSYoungGen: 174368K->128K(174464K)] 176633K->2393K(524032K), 0.0004562 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.804: [GC [PSYoungGen: 174336K->96K(174464K)] 176601K->2361K(524032K), 0.0005081 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.179: [GC [PSYoungGen: 174304K->64K(174464K)] 176569K->2329K(524032K), 0.0005239 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.559: [GC [PSYoungGen: 174272K->128K(174464K)] 176537K->2393K(524032K), 0.0005328 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.943: [GC [PSYoungGen: 174336K->160K(174464K)] 176601K->2425K(524032K), 0.0004397 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.325: [GC [PSYoungGen: 174368K->64K(174464K)] 176633K->2329K(524032K), 0.0005035 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
126.695: [GC [PSYoungGen: 174272K->0K(174464K)] 176537K->2265K(524032K), 0.0004892 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
127.079: [GC [PSYoungGen: 174208K->96K(174464K)] 176473K->2361K(524032K), 0.0004935 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
127.469: [GC [PSYoungGen: 174304K->64K(174464K)] 176569K->2329K(524032K), 0.0005825 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
127.854: [GC [PSYoungGen: 174272K->96K(174528K)] 176537K->2361K(524096K), 0.0005098 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
