83.432: [GC [PSYoungGen: 681888K->5088K(687744K)] 723971K->47587K(2085888K), 0.0127876 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
85.141: [GC [PSYoungGen: 682000K->4624K(688960K)] 724499K->47979K(2087104K), 0.0134599 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
86.658: [GC [PSYoungGen: 683216K->4576K(688640K)] 726571K->48284K(2086784K), 0.0112928 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
88.818: [GC [PSYoungGen: 683151K->4560K(689536K)] 726859K->48676K(2087680K), 0.0137522 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
90.352: [GC [PSYoungGen: 684368K->4768K(689280K)] 728484K->49252K(2087424K), 0.0112882 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
91.836: [GC [PSYoungGen: 684576K->5008K(690240K)] 729060K->49893K(2088384K), 0.0119497 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
93.378: [GC [PSYoungGen: 686160K->4688K(689920K)] 731045K->50333K(2088064K), 0.0126649 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
95.166: [GC [PSYoungGen: 685822K->5088K(690816K)] 731467K->51149K(2088960K), 0.0118974 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
97.017: [GC [PSYoungGen: 687392K->4976K(690496K)] 733453K->51581K(2088640K), 0.0121055 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
98.917: [GC [PSYoungGen: 687280K->4480K(691264K)] 733885K->51838K(2089408K), 0.0116781 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
100.378: [GC [PSYoungGen: 687808K->4752K(691072K)] 735166K->52334K(2089216K), 0.0119049 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
102.308: [GC [PSYoungGen: 688056K->4624K(691648K)] 735638K->52718K(2089792K), 0.0116934 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
103.857: [GC [PSYoungGen: 688720K->4704K(691456K)] 736814K->53166K(2089600K), 0.0139459 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
105.409: [GC [PSYoungGen: 688800K->4656K(691968K)] 737262K->53518K(2090112K), 0.0122682 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
107.045: [GC [PSYoungGen: 689456K->4880K(691840K)] 738318K->53951K(2089984K), 0.0118822 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
108.674: [GC [PSYoungGen: 689680K->4720K(692352K)] 738751K->54407K(2090496K), 0.0120674 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
110.196: [GC [PSYoungGen: 690288K->4832K(692224K)] 739975K->54967K(2090368K), 0.0120922 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
